通道编号,平均高度(km),水云(LW)_综合得分,过冷水云(SLW)_综合得分,混合云(MP)_综合得分,冰云(Ice)_综合得分
1,0.58657,0.2706045619244976,0.26996050864591153,0.16127642450926574,0.35318426667841724
2,0.70391,0.28220486356852037,0.2371154805332064,0.2500328056624172,0.5720935720882595
3,0.70391,0.2888148308794857,0.2417419709846291,0.20805000763939038,0.4745723970005969
4,0.70391,0.410672152925611,0.30962644586773874,0.38870100265203983,0.4292193081889531
5,0.70391,0.3590058421347568,0.31051599083883974,0.36016646117523204,0.48804134473620636
6,0.70391,0.36594799270941225,0.34520598614897985,0.49388479376301,0.4452119667218635
7,0.70391,0.22912839081869488,0.2616679705168698,0.21335537600816104,0.44777756252027306
8,0.70391,0.24612702310853937,0.2153338562531104,0.28237413581368825,0.42018819580397726
9,0.70391,0.4676038654608112,0.3375857949341479,0.43549549046521213,0.446390770953699
10,0.70391,0.40546271765931347,0.32035938025958427,0.42053500718769077,0.5044451124781809
11,0.70391,0.4318024504902218,0.31118914971660766,0.4480861262833195,0.4448904874998707
12,0.822845,0.2857071566826825,0.2940161434726824,0.31295816028253587,0.7013180960168368
13,0.822845,0.37234003144568484,0.3400484071996717,0.47252943906988726,0.5667512228291399
14,0.822845,0.44505704278665736,0.3837998818258433,0.4870432972324375,0.4933610182058772
15,0.825025,0.4029734950460089,0.34259476311995457,0.4737221184805636,0.5195116907823663
16,0.825025,0.40730251586822214,0.2678944562847768,0.33235488782313266,0.41046738381993975
17,0.825025,0.31593239988156435,0.4868194497771283,0.1912880027021091,0.6122016361897257
18,0.94396,0.5546710155338482,0.46490775878497387,0.7116094543698764,0.5018261804919874
19,1.0644,0.3674330676622836,0.3887347867873882,0.5256783708481043,0.545570322878748
20,1.0644,0.5476105668351622,0.42138389210695343,0.5001907138232357,0.4173527410578642
21,1.0644,0.5924109469163082,0.4141094147971011,0.60292000863927,0.46242849275825293
22,1.0644,0.33839586088473145,0.2685408863389937,0.41741958182916866,0.4294626852125205
23,1.0644,0.454079518330069,0.36834934225717464,0.5710539852193025,0.49764733213079365
24,1.0644,0.247259655590939,0.311671911592615,0.26682376980634076,0.6743468985164481
25,1.06639,0.3477729283881616,0.286312525570283,0.3846256265867198,0.42250941009635606
26,1.185515,0.25961770264618406,0.341293175775011,0.3520156010356412,0.2894048736538032
27,1.185515,0.23886787023872333,0.43069132982273234,0.3187353241711551,0.4347492446892048
28,1.185515,0.20462286645231986,0.2673415960588332,0.1731751666057486,0.25375841706293945
29,1.185515,0.2115397711475531,0.46472891642962083,0.24214088211825954,0.36023074709482467
30,1.30663,0.21056847976958112,0.2710646378491273,0.30312707107745146,0.32807523002559924
31,1.30663,0.23204252934878788,0.7405541219549073,0.16450892916301604,0.33950176615457645
32,1.307945,0.31338607306690436,0.2925930568452336,0.14230347709668192,0.2723992060994254
33,1.307945,0.27550144612417493,0.2866971081124025,0.15141120665641095,0.24710411711094937
34,1.307945,0.34740010377413716,0.30920771986598605,0.17656780921138507,0.3099036382286298
35,1.307945,0.3295577381385529,0.24494502828435452,0.20076230140211412,0.37534393606401234
36,1.42906,0.4178137154154474,0.2529852642444805,0.2933766212492101,0.41104955149898803
37,1.55698,0.3746854695272242,0.28223898635373385,0.2531504045541773,0.43093491645805954
38,1.55698,0.28116838210969025,0.5060523285323817,0.23037213624077937,0.2250104856878505
39,1.55698,0.320072978923643,0.2575212929091444,0.1886902352409909,0.379513833421848
40,1.55698,0.35698256990473265,0.2633531401632137,0.28199629589790226,0.4539666942784035
41,1.678095,0.364327629838938,0.29254072066575815,0.25664236434730375,0.4344542264780118
42,1.678095,0.2796257613941592,0.5378238105808038,0.31236054885896486,0.2045355705830937
43,1.678095,0.27365316194114697,0.3172893616870767,0.21022377567952347,0.2961745071064743
44,1.678095,0.30721312098487646,0.2900813460053248,0.23461701072979568,0.42295621816728124
45,1.678095,0.3185848752266081,0.33500277033860887,0.24143184942256776,0.3190166429339258
46,1.678095,0.2826934325212482,0.28096593600981407,0.1683628700792067,0.38714939998899706
47,1.678095,0.25724550905269356,0.4586526079799091,0.16469283717233452,0.2832760385024083
48,1.678095,0.34380317277233047,0.30878044193563625,0.2868726538667733,0.5383376756793609
49,1.678095,0.32048898139400256,0.2513601235573654,0.17391991369721693,0.3680553410401118
50,1.800525,0.35586076559419494,0.25105910423088035,0.262766659003483,0.39873369415839083
51,1.803315,0.3569203355657244,0.27705330373954984,0.232092394132387,0.40792709017187717
52,1.803315,0.2776902759323058,0.5674802125579462,0.31631893830461705,0.2004084627176865
53,1.803315,0.25510891951922704,0.30274124402902886,0.20502074347462895,0.2774279908115485
54,1.803315,0.2908420495484944,0.2792457127721965,0.19759565597966003,0.3633024907909119
55,1.803315,0.29899446941357516,0.3203938269978517,0.22389821427017145,0.30667448353254273
56,1.803315,0.27134208096360457,0.27125936284564445,0.1605143520748067,0.31579515326167384
57,1.925745,0.24657646841557027,0.44051861938577086,0.16219306028575478,0.26720128307681773
58,2.04956,0.33380571592371483,0.2934057135971057,0.23344839007368334,0.4782024715628868
59,2.04956,0.29423449811552366,0.2848523600680871,0.20228651622115001,0.3126418018744937
60,2.04956,0.33234159975563055,0.2923868708352903,0.17595397739963017,0.3305334996022266
61,2.04956,0.3345806890160281,0.29981050932097864,0.1562654360994659,0.29902980246172894
62,2.17478,0.33586865599295934,0.2625716047657371,0.24428794719993444,0.40340468359322285
63,2.17478,0.3737193114604649,0.2711026888098994,0.27265871764700284,0.39897984414259696
64,2.17478,0.33072467120445614,0.26801625752016434,0.3664099384873947,0.6442926091714497
65,2.17478,0.3740497395989044,0.3280060089279659,0.4244220221745591,0.5491697711125447
66,2.17478,0.41232952617016,0.32896596643342807,0.32740998250880576,0.4703581534394883
67,2.17478,0.3841753584428918,0.25459335388786125,0.3458426924319616,0.4345691043990631
68,2.17478,0.26928162956865254,0.368020181160248,0.2976459130824964,0.2866209203636751
69,2.17478,0.28208838955504634,0.390013404381287,0.1875245545344207,0.3429182087606939
70,2.17478,0.2835455354356582,0.25306499054016773,0.3062595957046304,0.6891412222150316
71,2.17478,0.3220099905679203,0.23645747464729996,0.375174305898265,0.38800204335547184
72,2.17478,0.49284876881559064,0.4099410736370844,0.510262698693698,0.42660076319241513
73,2.3,0.33945155473951844,0.24613924758327696,0.39896524921882887,0.42781104143089893
74,2.3,0.6861690151558726,0.6331347131259201,0.6281528325224291,0.4482266396018213
75,2.3,0.261420288162765,0.251693251360579,0.29961810702428054,0.6561760009255275
76,2.3,0.2938177503505397,0.24413141550063208,0.35364445446771176,0.6383612320600337
77,2.3,0.43093940438905065,0.400046637391736,0.526513310796772,0.49104881930540595
78,2.3,0.2973242953748737,0.25427361365559864,0.3735421417764235,0.42536339924723704
79,2.42658,0.25276162321695406,0.34954762479201595,0.22731513918460775,0.6860400794621833
80,2.55316,0.3484861597822843,0.3168958385479476,0.5250785448182619,0.45675717900097634
81,2.68406,0.3371579754156553,0.3910894417449946,0.21039930565328943,0.4411065643163601
82,2.68406,0.5786276231953491,0.47297634790301973,0.5596298940893301,0.42598553643253506
83,2.68406,0.6080114780120319,0.5632739876668661,0.6707857040796049,0.4729238250533818
84,2.68406,0.2782098282531509,0.27088311763403655,0.4010774710754661,0.5200589397110823
85,2.68406,0.48830308025027547,0.2963740215309905,0.4378788679022633,0.40823472569244856
86,2.68406,0.35927496036343193,0.2527175417759986,0.36598084619652194,0.4071913077651556
87,2.68406,0.33056716252580404,0.45462988889961414,0.33659082714915045,0.5411131250060695
